 "csubject" , "cnumber" , "cname" , "cdepartment" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MSCA" , "625" , "Seminar in Options and Futures" , "Finance" ,
 "TESL" , "433" , "Practicum" , "Education" ,
 "ELEC" , "6251" , "Microtransducer Process Technology" , "Electrical and Computer Engineering (ECE)" ,
 "EMBA" , "631" , "Management Control Systems" , "Management" ,
 "ENGR" , "202" , "Sustainable Development and Environmental Stewardship" , "Any department" ,
 "COMP" , "248" , "Object‑Oriented Programming I" , "Computer Science and Software Engineering (CSSE)" ,
 "MECH" , "6451" , "Computer-Aided Mechanical Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "EMBA" , "640" , "Leadership" , "Management" ,
 "CIVI" , "6631" , "Hazardous Material Management and Transportation" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "453" , "Microwave Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "COMS" , "474" , "Communication Media: Intermedia III" , "Communication Studies" ,
 "MECH" , "6521" , "Manufacturing of Composites" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6051" , "Design of Industrial Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6561" , "High Strength Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "411" , "Terminologie et mondialisation" , "Études françaises" ,
 "MECH" , "6611" , "Numerically Controlled Machines" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGL" , "342" , "Creative Writing: Prose Fiction" , "English" ,
 "AERO" , "371" , "Modelling and Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "TESL" , "486" , "Internship: Primary II" , "Education" ,
 "FTRA" , "658" , "Pratique de la localisation Co-listé : FTRA 558" , "Études françaises" ,
 "COMS" , "383" , "Communication Media: Film II" , "Communication Studies" ,
 "COMS" , "374" , "Communication Media: Intermedia II" , "Communication Studies" ,
 "BIOL" , "466" , "Advanced Techniques in Molecular Biology" , "Biology" ,
 "TESL" , "487" , "Internship: Secondary II" , "Teaching English as a Second Language" ,
 "CATA" , "439" , "Rehabilitation of the Hip, Spine and Pelvis" , "Health, Kinesiology and Applied Physiology" ,
 "FTRA" , "455" , "Gestion de projets" , "Études françaises" ,
 "COMP" , "6521" , "Advanced Database Techniques and Applications" , "Computer Science and Software Engineering (CSSE)" ,
 "ACTU" , "486" , "Actuarial Mathematics Lab III" , "Mathematics and Statistics" ,
 "INSE" , "6630" , "Recent Developments in Information Systems Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ENCS" , "272" , "Argumentation and Composition for Engineers" , "Centre for Engineering in Society" ,
 "CIVI" , "6521" , "Soil Behaviour" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CHEM" , "212" , "Analytical Chemistry for Biologists" , "Chemistry and Biochemistry" ,
 "BLDG" , "6861" , "Simulations and Design of Construction Operations" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ENGR" , "412" , "Honours Research Project" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "411" , "Instrumentation and Measurements" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "428" , "Parallel Programming" , "Computer Science and Software Engineering (CSSE)" ,
 "INDU" , "6361" , "Discrete Optimization" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PERC" , "210" , "The Audience and the Performance Event" , "Theatre" ,
 "FTRA" , "492" , "Tutorat en traduction" , "Études françaises" ,
 "PSYC" , "840" , "Extramural Practicum II: Child" , "Psychology" ,
 "CHEM" , "450" , "Research Project and Thesis" , "Chemistry and Biochemistry" ,
 "BLDG" , "371" , "Building Service Systems" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "INDU" , "6421" , "Occupational Safety Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MBA" , "650" , "Crafting & Implementing Successful Strategies" , "Management" ,
 "COMS" , "485" , "Communication Media: Video III" , "Communication Studies" ,
 "JOUR" , "605" , "Digital Innovation in Journalism" , "Journalism" ,
 "PSYC" , "690" , "Research and Thesis" , "Psychology" ,
 "CIVI" , "7111" , "Theory and Design of Modern Bridge Systems" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SCOL" , "490" , "Directed and Independent Study III" , "Science College" ,
 "ENGR" , "412" , "Honours Research Project" , "Any department" ,
 "CIVI" , "6661" , "Environmental Impact Assessment" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CHEM" , "BIO" , "Chemistry and Biochemistry Co-op - International" , "Chemistry and Biochemistry" ,
 "PHYS" , "224" , "Introductory Experimental Mechanics" , "Physics" ,
 "COEN" , "6721" , "Fault-Tolerant Distributed Systems" , "Electrical and Computer Engineering (ECE)" ,
 "ARTX" , "480" , "Advanced Integrated Studio in Contemporary Art Practices" , "Studio Arts" ,
 "COEN" , "212" , "Digital Systems Design I" , "Electrical and Computer Engineering (ECE)" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "Classics, Modern Languages and Linguistics" ,
 "FTRA" , "684" , "Tutorat en linguistique" , "Études françaises" ,
 "AHSC" , "537" , "Internship II in Youth Work" , "Applied Human Sciences" ,
 "BIOL" , "524" , "High-throughput Instrumentation" , "Biology" ,
 "INSE" , "6320" , "Risk Analysis for Information and Systems Engineering" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Electrical and Computer Engineering (ECE)" ,
 "MATH" , "654" , "Thesis" , "Mathematics and Statistics" ,
 "STAT" , "287" , "Statistics Lab I" , "Mathematics and Statistics" ,
 "PSYC" , "824" , "APC Practicum III: Adult" , "Psychology" ,
 "COMP" , "6311" , "Animation for Computer Games" , "Computer Science and Software Engineering (CSSE)" ,
 "APLI" , "601" , "Graduate Phonology" , "Education" ,
 "FTRA" , "402" , "Traduction littéraire avancée : de l’anglais au français" , "Études françaises" ,
 "FTRA" , "685" , "Tutorial in linguistics" , "Études françaises" ,
 "BSTA" , "445" , "Statistical Software for Data Management & Analysis" , "Supply Chain and Business Technology Management" ,
 "CATA" , "337" , "Assessment of the Upper and Lower Extremities" , "Health, Kinesiology and Applied Physiology" ,
 "AHSC" , "599" , "Independent Study" , "Applied Human Sciences" ,
 "CHEM" , "341" , "Inorganic Chemistry III: The Transition Metals" , "Chemistry and Biochemistry" ,
 "AHSC" , "422" , "Youth and Leisure" , "Applied Human Sciences" ,
 "CATA" , "485" , "Athletic Therapy Field Internship II" , "Health, Kinesiology and Applied Physiology" ,
 "AHSC" , "439" , "Internship in Human Relations" , "Applied Human Sciences" ,
 "MECH" , "7711" , "Handling and Stability of Road Vehicles" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6491" , "Engineering Aspects of Site Remediation" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ACCO" , "690A" , "Introduction to Exam-writing Techniques" , "Accountancy" ,
 "BLDG" , "7861" , "Business Practices in Construction" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CHEM" , "242" , "Inorganic Chemistry II: The Chemistry of the Main Group Elements" , "Chemistry and Biochemistry" ,
 "ELEC" , "6111" , "Detection and Estimation Theory" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "301" , "Traduction littéraire du français à l’anglais" , "Études françaises" ,
 "URBS" , "483" , "Directed Studies / Practicum in Urban Planning I" , "Geography, Planning and Environment" ,
 "MARK" , "495" , "Strategic Marketing Planning" , "Marketing" ,
 "ELEC" , "422" , "Design of Integrated Circuit Components" , "Electrical and Computer Engineering (ECE)" ,
 "COEN" , "6511" , "VLSI Circuit Design" , "Electrical and Computer Engineering (ECE)" ,
 "COMP" , "451" , "Database Design" , "Computer Science and Software Engineering (CSSE)" ,
 "BIOL" , "490" , "Independent Study" , "Biology" ,
 "AHSC" , "498" , "Leadership,
 Change &
 Social
 Innovation" , "Applied Human Sciences" ,
 "ECON" , "858" , "Montreal Natural Resources and Environmental Economics Workshop" , "Economics" ,
 "JOUR" , "531" , "Visual Journalism Photo Editing" , "Journalism" ,
 "TRAN" , "F-E" , "Traduction francais-anglais / French-English Translation Co-op" , "Études françaises" ,
 "SPAN" , "605" , "Independent Study" , "Classics, Modern Languages and Linguistics" ,
 "COMS" , "562" , "Media Production: Sound" , "Communication Studies" ,
 "URBS" , "420" , "The Social and Cultural Geographies of Montreal" , "Geography, Planning and Environment" ,
 "MAST" , "333" , "Applied Statistics" , "Mathematics and Statistics" ,
 "CIVI" , "6031" , "Seismic Assessment and Retrofit of Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FINA" , "416" , "Behavioural Finance" , "Finance" ,
 "CHEM" , "293" , "Spectroscopy and Structure of Organic Compounds" , "Chemistry and Biochemistry" ,
 "INDU" , "6231" , "Scheduling Theory" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "6491" , "Controlled Electric Drives" , "Electrical and Computer Engineering (ECE)" ,
 "INSE" , "6110" , "Foundations of Cryptography" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "MECH" , "460" , "Finite Element Analysis" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "418" , "Web, technologies, traduction : théories et critiques" , "Études françaises" ,
 "ELEC" , "6631" , "Video Processing and Compression" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6831" , "Digital Communications" , "Electrical and Computer Engineering (ECE)" ,
 "ENGL" , "429" , "Advanced Studies in Creative Writing" , "English" ,
 "EDUC" , "495" , "Internship V: Upper Elementary Teaching" , "Education" ,
 "INSE" , "8901" , "Master of Applied Science Research and Thesis" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "PSYC" , "485" , "Specialization Project" , "Psychology" ,
 "EMBA" , "676" , "International Study Trip" , "Management" ,
 "ENVS" , "608" , "Getting Ready for the EA Internship" , "Geography, Planning and Environment" ,
 "FTRA" , "304" , "Traduction littéraire de l’anglais au français" , "Études françaises" ,
 "JOUR" , "523" , "News and Feature Photography" , "Journalism" ,
 "INSE" , "6660" , "Secure programsming" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "JOUR" , "694" , "Essay" , "Journalism" ,
 "GEOG" , "361" , "Research Design and Qualitative Methods" , "Geography, Planning and Environment" ,
 "MANA" , "539" , "Internship - Health Care Admin" , "Any department" ,
 "AHSC" , "384" , "Therapeutic Recreation: Cognitive Disabilities and Illness" , "Applied Human Sciences" ,
 "BIOL" , "261" , "Molecular & General Genetics" , "Biology" ,
 "ENGL" , "690" , "Thesis" , "English" ,
 "ELEC" , "6481" , "Computer-aided Analysis of Power Electronic Systems" , "Electrical and Computer Engineering (ECE)" ,
 "PSYC" , "495" , "Honours Thesis" , "Psychology" ,
 "ELEC" , "6421" , "Renewable Energy Systems" , "Electrical and Computer Engineering (ECE)" ,
 "CHEM" , "217" , "Introductory Analytical Chemistry I" , "Chemistry and Biochemistry" ,
 "ETEC" , "790" , "Internship I (Thesis Option)" , "Education" ,
 "POLI" , "691" , "Extended Research Essay" , "Political Science" ,
 "ELEC" , "6371" , "Design of Wireless RF Systems" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "6731" , "Building Illumination" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "432" , "Control of Electrical Power Conversion Systems" , "Electrical and Computer Engineering (ECE)" ,
 "INDU" , "6241" , "Lean Manufacturing" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "474" , "Mechatronics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "483" , "Real-Time Computer Control Systems" , "Electrical and Computer Engineering (ECE)" ,
 "JOUR" , "404" , "Magazine Writing" , "Journalism" ,
 "INDU" , "411" , "Computer Integrated Manufacturing" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGL" , "227" , "Introductory Creative Writing: Playwriting" , "English" ,
 "MECH" , "6781" , "Guided Vehicle Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGR" , "472" , "Robot Manipulators" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "WSDB" , "494" , "Advanced Tutorial in Women’s Studies" , "Simone de Beauvoir Institute" ,
 "JOUR" , "209" , "Intermediate Multimedia" , "Journalism" ,
 "MECH" , "6121" , "Aerodynamics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PHYS" , "290" , "Experimental Electronics" , "Physics" ,
 "MBA" , "645" , "Economic Analysis for Organizational Decision" , "Finance" ,
 "CHST" , "618" , "Childhood Settings" , "Education" ,
 "CHEM" , "631" , "Computational Chemistry" , "Chemistry and Biochemistry" ,
 "FRAN" , "211" , "French Language: Elementary" , "Études françaises" ,
 "JOUR" , "530" , "Advanced Radio News" , "Journalism" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Computer Science and Software Engineering (CSSE)" ,
 "CHEM" , "241" , "Inorganic Chemistry I: Introduction to Periodicity and Valence Theory" , "Chemistry and Biochemistry" ,
 "URBS" , "491" , "Honours Thesis or Project" , "Geography, Planning and Environment" ,
 "INDU" , "6121" , "Advanced Operations Research" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMM" , "223" , "Marketing management" , "Marketing" ,
 "ELEC" , "331" , "Fundamentals of Electrical Power Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "Applied Human Sciences" ,
 "MECH" , "6181" , "Heating, Air Conditioning and Ventilation" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6041" , "Virtual Systems Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENCS" , "393" , "Impact of information and Communication Technologies on Society" , "Centre for Engineering in Society" ,
 "BIOL" , "367" , "Molecular Biology" , "Biology" ,
 "ENGL" , "344" , "Creative Writing: Playwriting" , "English" ,
 "AHSC" , "620" , "Learning and Individual Change Processes" , "Applied Human Sciences" ,
 "MECH" , "6251" , "Space Flight Mechanics and Propulsion Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MANA" , "343" , "Negotiation & Conflict Resolution" , "Management" ,
 "EXCI" , "380" , "Adapted Physical Activity" , "Health, Kinesiology and Applied Physiology" ,
 "CHST" , "605" , "Quantitative Methods of Inquiry" , "Education" ,
 "FINA" , "405" , "Cases in Finance" , "Finance" ,
 "TESL" , "201" , "Introduction to Teaching English as a Second Language" , "Education" ,
 "COMS" , "276" , "Communication Media: Sound I" , "Communication Studies" ,
 "MECH" , "371" , "Analysis and Design of Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "445" , "Data Communication and Computer Networks" , "Computer Science and Software Engineering (CSSE)" ,
 "PHYS" , "497" , "Specialization Research Project" , "Physics" ,
 "MATH" , "ACTF" , "Actuarial Mathematics and Finance Co-op" , "Mathematics and Statistics" ,
 "MECH" , "361" , "Fluid Mechanics II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "GEOL" , "415" , "Plate Tectonics and Crustal Evolution" , "Geography, Planning and Environment" ,
 "MECH" , "6661" , "Thermodynamics and Phase Equilibria of Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "352" , "Heat Transfer I" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FINA" , "415" , "Mergers and Acquisitions" , "Finance" ,
 "AHSC" , "685" , "Coaching Interventions and Processes" , "Applied Human Sciences" ,
 "CIVI" , "6481" , "Sustainable Management of Industrial Waste" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "390" , "Electrical Engineering Product Design Project" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "7831" , "Building Economics II" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "PHYS" , "391" , "Introduction to Experimental Microprocessors and Assembly Language Programming" , "Physics" ,
 "BIOL" , "451" , "Field Ecology" , "Biology" ,
 "JOUR" , "330" , "Radio Newsroom" , "Journalism" ,
 "BLDG" , "6791" , "Thermal Building Simulation" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EDUC" , "461" , "Child Studies Seminar: Early Childhood Settings" , "Education" ,
 "ELEC" , "6881" , "Fundamentals and Applications of MIMO Communications" , "Electrical and Computer Engineering (ECE)" ,
 "MPER" , "231" , "Choir I" , "Music" ,
 "PHYS" , "296" , "Experimental Electronics II" , "Physics" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "Classics, Modern Languages and Linguistics" ,
 "CATA" , "339" , "Rehabilitation of the Upper and Lower Extremities" , "Health, Kinesiology and Applied Physiology" ,
 "COEN" , "6311" , "Software Engineering" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "6751" , "Vehicle Dynamics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6411" , "Urban Transportation Planning" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FLIT" , "690" , "Présentation du mémoire" , "Études françaises" ,
 "BIOL" , "689" , "Advanced Techniques in Molecular Biology" , "Biology" ,
 "FRAN" , "319" , "Le français des affaires II" , "Any department" ,
 "COMP" , "6741" , "Intelligent Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "PHYS" , "663" , "Quantitative Human Systems Physiology" , "Physics" ,
 "PSYC" , "828" , "APC Practicum IV: Child" , "Psychology" ,
 "AHSC" , "442" , "Community Development and Leisure" , "Applied Human Sciences" ,
 "JOUR" , "402" , "Specialist Reporting" , "Journalism" ,
 "AHSC" , "490" , "Independent Study I" , "Applied Human Sciences" ,
 "ENGL" , "226" , "Introductory Creative Writing: Prose Fiction" , "English" ,
 "AERO" , "482" , "Avionic Navigation Systems (3 credits)" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "490" , "Computer Science Project I" , "Computer Science and Software Engineering (CSSE)" ,
 "ESL" , "206" , "Academic Oral Communication II" , "Education" ,
 "ANTH" , "495" , "Honours Essay" , "Sociology and Anthropology" ,
 "CLAS" , "490" , "Honours Thesis" , "Classics, Modern Languages and Linguistics" ,
 "INSE" , "6220" , "Advanced Statistical Approaches to Quality" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "INSE" , "6270" , "Quality-Based System Engineering" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "PHIL" , "695" , "Thesis" , "Philosophy" ,
 "PSYC" , "825" , "APC Practicum III: Child" , "Psychology" ,
 "FTRA" , "652" , "Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552" , "Études françaises" ,
 "FTRA" , "527" , "Travaux dirigés (A)" , "Études françaises" ,
 "EMBA" , "612" , "Marketing Management" , "Management" ,
 "APLI" , "634" , "Cross-linguistic Influence" , "Education" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "Computer Science and Software Engineering (CSSE)" ,
 "BIOL" , "322" , "Biostatistics" , "Biology" ,
 "MAST" , "324" , "Introduction to Optimization" , "Mathematics and Statistics" ,
 "MECH" , "447" , "Fundamentals of Vehicle System Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "538" , "Extended Internship in Youth Work" , "Applied Human Sciences" ,
 "EDUC" , "395" , "Internship III: Kindergarten Teaching" , "Education" ,
 "SCPA" , "412" , "Senior Research Seminar" , "School of Community and Public Affairs" ,
 "COEN" , "6521" , "Design for Testability" , "Electrical and Computer Engineering (ECE)" ,
 "SOAN" , "890" , "Thesis" , "Sociology and Anthropology" ,
 "BLDG" , "6751" , "Indoor Air Quality and Ventilation" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "JOUR" , "207" , "Introduction to Multimedia" , "Journalism" ,
 "EXCI" , "252" , "Introduction to Physical Activity, Health and Fitness" , "Health, Kinesiology and Applied Physiology" ,
 "BTM" , "430" , "Enterprise Resources Planning and Technology Integration" , "Supply Chain and Business Technology Management" ,
 "MARK" , "465" , "International Marketing Management" , "Marketing" ,
 "BLDG" , "6561" , "Building Economics I" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ESTU" , "692" , "Directed Study (with Extended Essay or Research Project)" , "Education" ,
 "INSE" , "6120" , "Crypto-Protocol and Network Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ENVS" , "664" , "Field Course in EA" , "Geography, Planning and Environment" ,
 "GEOL" , "216" , "Field Methods" , "Geography, Planning and Environment" ,
 "FTRA" , "517" , "Stage de formation du français à l’anglais I (A)" , "Études françaises" ,
 "COMS" , "695" , "Thesis" , "Communication Studies" ,
 "BIOL" , "486" , "High-throughput Instrumentation" , "Biology" ,
 "COMP" , "346" , "Operating Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "AHSC" , "537" , "Internship II in Youth Work" , "Applied Human Sciences" ,
 "COEN" , "6341" , "Embedded System Modelling" , "Electrical and Computer Engineering (ECE)" ,
 "MPER" , "422" , "Chamber Ensemble IV" , "Music" ,
 "MATH" , "603" , "Extended Project" , "Mathematics and Statistics" ,
 "ELEC" , "6091" , "Discrete Event Systems" , "Electrical and Computer Engineering (ECE)" ,
 "ENCS" , "5721" , "Argumentation and Composition for Engineers" , "Centre for Engineering in Society" ,
 "JOUR" , "502" , "Introduction to Reporting" , "Journalism" ,
 "COMS" , "483" , "Communication Media: Film III" , "Communication Studies" ,
 "HIST" , "388" , "Telling Stories: Oral History, Memoryscapes, and Digital Storytelling" , "History" ,
 "EXCI" , "351" , "Introduction to the Biomechanics of Human Movement" , "Health, Kinesiology and Applied Physiology" ,
 "EDUC" , "360" , "Introduction to Inclusive Practices" , "Education" ,
 "GEOG" , "362" , "Statistical Methods" , "Geography, Planning and Environment" ,
 "ETEC" , "551" , "Fundamentals of Human Performance Technology" , "Education" ,
 "ESTU" , "690" , "Thesis and Tutorial" , "Education" ,
 "PSYC" , "839" , "Extramural Practicum II: Adult" , "Psychology" ,
 "URBS" , "250" , "Representation Methods in Urban Studies" , "Geography, Planning and Environment" ,
 "CIVI" , "454" , "Design of Steel Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EDUC" , "301" , "Integrating Computers into the Elementary Classroom" , "Education" ,
 "BLDG" , "490" , "Capstone Building Engineering Design Project (also listed as BLDG 490A, BLDG 490B)" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "472" , "Mechatronics and Automation" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENGR" , "290" , "Introductory Engineering Team Design Project" , "Centre for Engineering in Society" ,
 "PERC" , "209" , "The Engaged Theatre Artist" , "Theatre" ,
 "FTRA" , "560" , "Stage en gestion de projet I" , "Études françaises" ,
 "FRAA" , "491" , "Tutorat en langue ou linguistique" , "Études françaises" ,
 "FINA" , "465" , "Trading in Financial Securities" , "Finance" ,
 "INSE" , "6640" , "Smart Grids and Control System Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ELEC" , "442" , "Digital Signal Processing" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "231" , "Geology for Civil Engineers" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "INDU" , "6331" , "Advanced Quality Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SOEN" , "341" , "Software Process" , "Computer Science and Software Engineering (CSSE)" ,
 "LING" , "490" , "Honours Tutorial" , "Classics, Modern Languages and Linguistics" ,
 "SCPA" , "537" , "Le DÉC en milieu autochtone. Partie II" , "School of Community and Public Affairs" ,
 "RELI" , "695" , "Master’s Thesis (Judaic Studies)" , "Religions and Cultures" ,
 "MBA" , "655" , "International Case Competition Organizer" , "Management" ,
 "BLDG" , "6151" , "Database Applications in Building and Civil Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "INSE" , "6421" , "Systems Integration and Testing" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "JOUR" , "325" , "Social Media and Mobile Reporting" , "Journalism" ,
 "CHST" , "696" , "Internship Report" , "Education" ,
 "MECH" , "6061" , "Analysis and Design of Hydraulic Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ELEC" , "312" , "Electronics II" , "Electrical and Computer Engineering (ECE)" ,
 "URBS" , "333" , "Urban Laboratory" , "Geography, Planning and Environment" ,
 "PHYS" , "495" , "Experimental Nuclear Physics" , "Physics" ,
 "COEN" , "313" , "Digital Systems Design II" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "343" , "Theory of Machines" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "476" , "Advanced Game Development" , "Computer Science and Software Engineering (CSSE)" ,
 "ELEC" , "6221" , "Solid State Devices" , "Electrical and Computer Engineering (ECE)" ,
 "PREX" , "PHYS" , "Physics Professional Experience" , "Physics" ,
 "COEN" , "6741" , "Computer Architecture and Design" , "Electrical and Computer Engineering (ECE)" ,
 "FRAA" , "431" , "Rédaction professionnelle" , "Études françaises" ,
 "AHSC" , "451" , "Counselling Skills and Concepts" , "Applied Human Sciences" ,
 "ELEC" , "6641" , "Two-dimensional Signal and Image Processing" , "Electrical and Computer Engineering (ECE)" ,
 "PHYS" , "491" , "Experimental Microprocessor Interfacing" , "Physics" ,
 "MBA" , "642" , "Financial Reporting for Responsible Decision Making" , "Management" ,
 "COMP" , "107" , "Computer Science Industrial Experience Work Term I" , "Computer Science and Software Engineering (CSSE)" ,
 "EDUC" , "895" , "Doctoral Dissertation" , "Education" ,
 "FTRA" , "555" , "Gestion de projets" , "Études françaises" ,
 "FRAA" , "430" , "Stylistique avancée" , "Études françaises" ,
 "MBA" , "661" , "JMSB/MBA Community Services Initiative" , "Management" ,
 "ENCS" , "6041" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "Centre for Engineering in Society" ,
 "COEN" , "317" , "Microprocessor Systems" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "381" , "Hydraulics" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "COEN" , "421" , "Embedded Systems Design" , "Electrical and Computer Engineering (ECE)" ,
 "CATA" , "262" , "Emergency Care in Sport and Exercise" , "Health, Kinesiology and Applied Physiology" ,
 "MSCA" , "611" , "Research Methodology" , "Finance" ,
 "ELEC" , "466" , "Introduction to Optical Communication Systems" , "Electrical and Computer Engineering (ECE)" ,
 "INSE" , "7120" , "Advanced Network Management" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "6091" , "Flight Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "420" , "Stage de formation : de l’anglais au français" , "Études françaises" ,
 "ANTH" , "315" , "Field Research" , "Sociology and Anthropology" ,
 "STAT" , "499" , "Honours Project in Statistics" , "Mathematics and Statistics" ,
 "FPST" , "491" , "Aboriginal Community Economic Development II" , "School of Community and Public Affairs" ,
 "EMBA" , "690" , "Management Consulting Project" , "Management" ,
 "FINA" , "471" , "International Financial Management" , "Finance" ,
 "FINA" , "481" , "Management of Financial Institutions" , "Finance" ,
 "BLDG" , "6951" , "Solar Building Modelling and Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "490" , "Capstone Electrical Engineering Design Project" , "Electrical and Computer Engineering (ECE)" ,
 "FTRA" , "561" , "Stage en gestion de projet II" , "Études françaises" ,
 "CIVI" , "6541" , "Reinforced Earth" , "Building, Civil and Environmental Engineering (BCEE)" ,
