 "csubject" , "cnumber" , "cname" , "cdescription" ,
 "GEOG" , "495" , "Field Research" , "Field excursion - 2 or 3 weeks " ,
 "FTRA" , "534" , "Terminologie et mondialisation" , "aspect pratique, utilisation d’outils" ,
 "BTM" , "200" , "Fundamentals of Information Technology" , "Hands-on experience" ,
 "TESL" , "415" , "Testing, Evaluation, and Course Design" , "Students analyze tests and rating scales, and create a set of thematic assessments for their final project." ,
 "COMS" , "697" , "Research-Creation Thesis" , "Original media production & thesis" ,
 "BLDG" , "6651" , "Fire and Smoke Control in Buildings" , "A project is required" ,
 "CIVI" , "6601" , "Modelling in Building and Environmental Engineering" , "A case study and project" ,
 "MECH" , "6361" , "Mechanics of Biological Tissues" , "A project on current topic is required" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Associated reflective learning course to industrial experience work term II" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Industrial experience work term" ,
 "MSCA" , "625" , "Seminar in Options and Futures" , "Research proposal presentation" ,
 "TESL" , "433" , "Practicum" , "Observation of ESL classes taught by experienced teachers, lesson planning and evaluation of own's teaching style" ,
 "ELEC" , "6251" , "Microtransducer Process Technology" , "A project is required" ,
 "EMBA" , "631" , "Management Control Systems" , "Practical cases & applications reflecting real organizational issues" ,
 "ENGR" , "202" , "Sustainable Development and Environmental Stewardship" , "Case studies" ,
 "COMP" , "248" , "Object‑Oriented Programming I" , "Laboratory: 12 hours total" ,
 "MECH" , "6451" , "Computer-Aided Mechanical Design" , "A project is required" ,
 "EMBA" , "640" , "Leadership" , "Practical exercises, case studies, simulations & role-playing activities" ,
 "CIVI" , "6631" , "Hazardous Material Management and Transportation" , "A project is required" ,
 "ELEC" , "453" , "Microwave Engineering" , "Laboratory: 15 hours total" ,
 "COMS" , "474" , "Communication Media: Intermedia III" , "Practicum course" ,
 "MECH" , "6521" , "Manufacturing of Composites" , "A project on selected topics of current interest is required" ,
 "CIVI" , "6051" , "Design of Industrial Structures" , "A case study & project" ,
 "MECH" , "6561" , "High Strength Materials" , "A project on current research topics and selected applications is required" ,
 "FTRA" , "411" , "Terminologie et mondialisation" , "aspect pratique, utilisation d’outils" ,
 "MECH" , "6611" , "Numerically Controlled Machines" , "A design project on multi-surface machine parts is required" ,
 "ENGL" , "342" , "Creative Writing: Prose Fiction" , "Workshop" ,
 "AERO" , "371" , "Modelling and Control Systems" , "Laboratory: 2 hours per week, alternate weeks" ,
 "TESL" , "486" , "Internship: Primary II" , "Minimum 210 hours supervised by a co-operating teacher and a university professor" ,
 "FTRA" , "658" , "Pratique de la localisation Co-listé : FTRA 558" , "pratique" ,
 "COMS" , "383" , "Communication Media: Film II" , "Practicum course" ,
 "COMS" , "374" , "Communication Media: Intermedia II" , "Practicum course" ,
 "BIOL" , "466" , "Advanced Techniques in Molecular Biology" , "Laboratory" ,
 "TESL" , "487" , "Internship: Secondary II" , "Minimum 210 hours supervised by a co-operating teacher and a university professor" ,
 "CATA" , "439" , "Rehabilitation of the Hip, Spine and Pelvis" , "Laboratory" ,
 "FTRA" , "455" , "Gestion de projets" , "mises en situation" ,
 "COMP" , "6521" , "Advanced Database Techniques and Applications" , "Laboratory: 24 hours total, project" ,
 "ACTU" , "486" , "Actuarial Mathematics Lab III" , "Lab, workshop" ,
 "INSE" , "6630" , "Recent Developments in Information Systems Security" , "A project is required" ,
 "ENCS" , "272" , "Argumentation and Composition for Engineers" , "Course-integrated projects; Team project" ,
 "CIVI" , "6521" , "Soil Behaviour" , "A project is required" ,
 "CHEM" , "212" , "Analytical Chemistry for Biologists" , "Laboratory" ,
 "BLDG" , "6861" , "Simulations and Design of Construction Operations" , "A project is required" ,
 "ENGR" , "412" , "Honours Research Project" , "Research project in their area of concentration" ,
 "MECH" , "411" , "Instrumentation and Measurements" , "Laboratory: 2 hours per week, alternate weeks" ,
 "COMP" , "428" , "Parallel Programming" , "Laboratory: 24 hours total, group project" ,
 "INDU" , "6361" , "Discrete Optimization" , "A project is required" ,
 "PERC" , "210" , "The Audience and the Performance Event" , "Studio course" ,
 "FTRA" , "492" , "Tutorat en traduction" , "sujet particulier" ,
 "PSYC" , "840" , "Extramural Practicum II: Child" , "Practicum" ,
 "CHEM" , "450" , "Research Project and Thesis" , "Research, Thesis" ,
 "BLDG" , "371" , "Building Service Systems" , "Laboratory: 2 hours per week, alternate weeks" ,
 "INDU" , "6421" , "Occupational Safety Engineering" , "A project on a current topic is required" ,
 "MBA" , "650" , "Crafting & Implementing Successful Strategies" , "Cases & projects" ,
 "COMS" , "485" , "Communication Media: Video III" , "Practicum course" ,
 "JOUR" , "605" , "Digital Innovation in Journalism" , "Workshops" ,
 "PSYC" , "690" , "Research and Thesis" , "Research, thesis" ,
 "CIVI" , "7111" , "Theory and Design of Modern Bridge Systems" , "A project is required" ,
 "SCOL" , "490" , "Directed and Independent Study III" , "Practical laboratory project in a field different from SCOL 290 & SCOL 490 projects" ,
 "ENGR" , "412" , "Honours Research Project" , "Research project in area of concentration, selected in consultation with & conducted under the supervision of a faculty member" ,
 "CIVI" , "6661" , "Environmental Impact Assessment" , "Case studies and project" ,
 "CHEM" , "BIO" , "Chemistry and Biochemistry Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "PHYS" , "224" , "Introductory Experimental Mechanics" , "Experiment, lab" ,
 "COEN" , "6721" , "Fault-Tolerant Distributed Systems" , "A project is required" ,
 "ARTX" , "480" , "Advanced Integrated Studio in Contemporary Art Practices" , "Studio course" ,
 "COEN" , "212" , "Digital Systems Design I" , "Laboratory: 15 hours total" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "Concrete practice" ,
 "FTRA" , "684" , "Tutorat en linguistique" , "tutorat" ,
 "AHSC" , "537" , "Internship II in Youth Work" , "Any programs" ,
 "BIOL" , "524" , "High-throughput Instrumentation" , "Hands-on course" ,
 "INSE" , "6320" , "Risk Analysis for Information and Systems Engineering" , "A project is required" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Industrial experience work term" ,
 "MATH" , "654" , "Thesis" , "Thesis" ,
 "STAT" , "287" , "Statistics Lab I" , "Lab" ,
 "PSYC" , "824" , "APC Practicum III: Adult" , "Practicum, clinical experience and supervision" ,
 "COMP" , "6311" , "Animation for Computer Games" , "Laboratory: 24 hours total, project" ,
 "APLI" , "601" , "Graduate Phonology" , "Evaluation of pronunciation textbooks; assessment of teaching techniques for pronunciation instructions; preparation of teaching materials targetting L2 pronunciation; analysis of L2 learner data; use of computer-assisted tools for pronunciation teaching and learning; conduct needs analysis (e.g., based on pronunciation problems in a specific learning context)" ,
 "FTRA" , "402" , "Traduction littéraire avancée : de l’anglais au français" , "travaux pratiques " ,
 "FTRA" , "685" , "Tutorial in linguistics" , "tutorial" ,
 "BSTA" , "445" , "Statistical Software for Data Management & Analysis" , "Computer labs, lab work" ,
 "CATA" , "337" , "Assessment of the Upper and Lower Extremities" , "Laboratory" ,
 "AHSC" , "599" , "Independent Study" , "Field studies, and/or research" ,
 "CHEM" , "341" , "Inorganic Chemistry III: The Transition Metals" , "Laboratory" ,
 "AHSC" , "422" , "Youth and Leisure" , "Laboratory" ,
 "CATA" , "485" , "Athletic Therapy Field Internship II" , "200 hours over 1 or 2 terms" ,
 "AHSC" , "439" , "Internship in Human Relations" , "Opportunity to design, implement, and evaluate small group leadership in several settings, and to negotiate working relationships with site personnel" ,
 "MECH" , "7711" , "Handling and Stability of Road Vehicles" , "Project on selected topics is an integral part of the course" ,
 "CIVI" , "6491" , "Engineering Aspects of Site Remediation" , "Lab demonstrations, A project is required" ,
 "ACCO" , "690A" , "Introduction to Exam-writing Techniques" , "Course" ,
 "BLDG" , "7861" , "Business Practices in Construction" , "A project is required" ,
 "CHEM" , "242" , "Inorganic Chemistry II: The Chemistry of the Main Group Elements" , "Laboratory" ,
 "ELEC" , "6111" , "Detection and Estimation Theory" , "A project is required" ,
 "FTRA" , "301" , "Traduction littéraire du français à l’anglais" , "travaux pratiques " ,
 "URBS" , "483" , "Directed Studies / Practicum in Urban Planning I" , "120 hours with a private or public institution, or community interest group" ,
 "MARK" , "495" , "Strategic Marketing Planning" , "Capstone course, cases, major project " ,
 "ELEC" , "422" , "Design of Integrated Circuit Components" , "Design, fabricate
Laboratory: 15 hours total" ,
 "COEN" , "6511" , "VLSI Circuit Design" , "A project is required" ,
 "COMP" , "451" , "Database Design" , "Laboratory: 24 hours total" ,
 "BIOL" , "490" , "Independent Study" , "Research project" ,
 "AHSC" , "498" , "Leadership,
 Change &
 Social
 Innovation" , "Students join a learning community made up of undergraduate and graduate students, university staff and members of the local community. Together they engage in ‘u.lab’ - a process of innovation and change that connects inner change to outer action." ,
 "ECON" , "858" , "Montreal Natural Resources and Environmental Economics Workshop" , "workshop; Organized through Centre Interuniversitaire de Recherche en Economie Quantiative (CIREQ). Prerequisite: permission of the department" ,
 "JOUR" , "531" , "Visual Journalism Photo Editing" , "Workshop course" ,
 "TRAN" , "F-E" , "Traduction francais-anglais / French-English Translation Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "SPAN" , "605" , "Independent Study" , "Research paper" ,
 "COMS" , "562" , "Media Production: Sound" , "Lectures and Laboratory: average 6 hours per week" ,
 "URBS" , "420" , "The Social and Cultural Geographies of Montreal" , "Field trips" ,
 "MAST" , "333" , "Applied Statistics" , "Use of statistical software" ,
 "CIVI" , "6031" , "Seismic Assessment and Retrofit of Structures" , "Case studies & a project are required" ,
 "FINA" , "416" , "Behavioural Finance" , "Case studies, experiments and activities" ,
 "CHEM" , "293" , "Spectroscopy and Structure of Organic Compounds" , "Laboratory" ,
 "INDU" , "6231" , "Scheduling Theory" , "Project: 2 hours per week" ,
 "ELEC" , "6491" , "Controlled Electric Drives" , "A project is required" ,
 "INSE" , "6110" , "Foundations of Cryptography" , "A project is required" ,
 "MECH" , "460" , "Finite Element Analysis" , "Laboratory: 3 hours per week, alternate weeks" ,
 "FTRA" , "418" , "Web, technologies, traduction : théories et critiques" , "travail approfondi de recherche" ,
 "ELEC" , "6631" , "Video Processing and Compression" , "A project is required" ,
 "ELEC" , "6831" , "Digital Communications" , "A project is required" ,
 "ENGL" , "429" , "Advanced Studies in Creative Writing" , "Advanced workshop" ,
 "EDUC" , "495" , "Internship V: Upper Elementary Teaching" , "8-week (200 hours) supervised student-teaching experience in an elementary classroom (Grades 4 to 6)" ,
 "INSE" , "8901" , "Master of Applied Science Research and Thesis" , "Research, thesis" ,
 "PSYC" , "485" , "Specialization Project" , "Research, project" ,
 "EMBA" , "676" , "International Study Trip" , "Field school" ,
 "ENVS" , "608" , "Getting Ready for the EA Internship" , "Workshop" ,
 "FTRA" , "304" , "Traduction littéraire de l’anglais au français" , "travaux pratiques " ,
 "JOUR" , "523" , "News and Feature Photography" , "Workshop course" ,
 "INSE" , "6660" , "Secure programsming" , "A project is required" ,
 "JOUR" , "694" , "Essay" , "40-page essay" ,
 "GEOG" , "361" , "Research Design and Qualitative Methods" , "Involvement in fieldwork outside of class time" ,
 "MANA" , "539" , "Internship - Health Care Admin" , "Internship" ,
 "AHSC" , "384" , "Therapeutic Recreation: Cognitive Disabilities and Illness" , "Volunteer placements - students are actively involved in assisting with recreation and leisure programs at community organizations; Living Library component – a method of informal education involving students as ‘readers’ who engage in conversations with ‘living books’ (individuals with mental illness)" ,
 "BIOL" , "261" , "Molecular & General Genetics" , "Tutorials" ,
 "ENGL" , "690" , "Thesis" , "Thesis" ,
 "ELEC" , "6481" , "Computer-aided Analysis of Power Electronic Systems" , "A project is required" ,
 "PSYC" , "495" , "Honours Thesis" , "Thesis" ,
 "ELEC" , "6421" , "Renewable Energy Systems" , "A project is required" ,
 "CHEM" , "217" , "Introductory Analytical Chemistry I" , "Laboratory" ,
 "ETEC" , "790" , "Internship I (Thesis Option)" , "Internship" ,
 "POLI" , "691" , "Extended Research Essay" , "Research essay" ,
 "ELEC" , "6371" , "Design of Wireless RF Systems" , "A project is required" ,
 "BLDG" , "6731" , "Building Illumination" , "A project is required" ,
 "ELEC" , "432" , "Control of Electrical Power Conversion Systems" , "System design, Laboratory: 15 hours total" ,
 "INDU" , "6241" , "Lean Manufacturing" , "A project is required" ,
 "MECH" , "474" , "Mechatronics" , "Laboratory: 3 hours per week, alternate weeks" ,
 "ELEC" , "483" , "Real-Time Computer Control Systems" , "Laboratory: 15 hours total" ,
 "JOUR" , "404" , "Magazine Writing" , "Workshop course" ,
 "INDU" , "411" , "Computer Integrated Manufacturing" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ENGL" , "227" , "Introductory Creative Writing: Playwriting" , "Writing workshop" ,
 "MECH" , "6781" , "Guided Vehicle Systems" , "A project on selected topics is an integral part of the course" ,
 "ENGR" , "472" , "Robot Manipulators" , "Laboratory: 15 hours total" ,
 "WSDB" , "494" , "Advanced Tutorial in Women’s Studies" , "Tutorial on topic not covered under normal curriculum, independent research ability required" ,
 "JOUR" , "209" , "Intermediate Multimedia" , "Workshop course" ,
 "MECH" , "6121" , "Aerodynamics" , "A project on specific topic or applications is required" ,
 "PHYS" , "290" , "Experimental Electronics" , "Experiments, practical laboratory course" ,
 "MBA" , "645" , "Economic Analysis for Organizational Decision" , "Case study assignments" ,
 "CHST" , "618" , "Childhood Settings" , "Field trips to different types of settings" ,
 "CHEM" , "631" , "Computational Chemistry" , "Laboratory" ,
 "FRAN" , "211" , "French Language: Elementary" , "Laboratory sessions" ,
 "JOUR" , "530" , "Advanced Radio News" , "Workshop course" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Industrial experience work term" ,
 "CHEM" , "241" , "Inorganic Chemistry I: Introduction to Periodicity and Valence Theory" , "Laboratory" ,
 "URBS" , "491" , "Honours Thesis or Project" , "Thesis" ,
 "INDU" , "6121" , "Advanced Operations Research" , "A design project is required" ,
 "COMM" , "223" , "Marketing management" , "Course-integrated project" ,
 "ELEC" , "331" , "Fundamentals of Electrical Power Engineering" , "Laboratory: 15 hours total" ,
 "AHSC" , "680" , "Facilitating Individual and Group Learning Processes" , "Laboratory setting plus delivery of a workshop to a community client" ,
 "MECH" , "6181" , "Heating, Air Conditioning and Ventilation" , "A project on selected applications is required" ,
 "MECH" , "6041" , "Virtual Systems Engineering" , "A project is required" ,
 "ENCS" , "393" , "Impact of information and Communication Technologies on Society" , "Course-integrated project; Games/Role Playing; Case Studies; Simulations" ,
 "BIOL" , "367" , "Molecular Biology" , "Tutorials" ,
 "ENGL" , "344" , "Creative Writing: Playwriting" , "Workshop" ,
 "AHSC" , "620" , "Learning and Individual Change Processes" , "Course-integrated projects; Capstone project" ,
 "MECH" , "6251" , "Space Flight Mechanics and Propulsion Systems" , "A project is required" ,
 "MANA" , "343" , "Negotiation & Conflict Resolution" , "Practice, role play, simulations" ,
 "EXCI" , "380" , "Adapted Physical Activity" , "Field-trip activities" ,
 "CHST" , "605" , "Quantitative Methods of Inquiry" , "Laboratory work, practical experience" ,
 "FINA" , "405" , "Cases in Finance" , "Real-world contexts" ,
 "TESL" , "201" , "Introduction to Teaching English as a Second Language" , "Project-based activities, apply course concepts & put teaching skills into practice" ,
 "COMS" , "276" , "Communication Media: Sound I" , "Practicum course" ,
 "MECH" , "371" , "Analysis and Design of Control Systems" , "Laboratory: 3 hours per week, alternate weeks" ,
 "COMP" , "445" , "Data Communication and Computer Networks" , "Laboratory: 24 hours total" ,
 "PHYS" , "497" , "Specialization Research Project" , "Research project" ,
 "MATH" , "ACTF" , "Actuarial Mathematics and Finance Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "MECH" , "361" , "Fluid Mechanics II" , "Laboratory: 2 hours per week, alternate weeks" ,
 "GEOL" , "415" , "Plate Tectonics and Crustal Evolution" , "Laboratory" ,
 "MECH" , "6661" , "Thermodynamics and Phase Equilibria of Materials" , "A project is required" ,
 "MECH" , "352" , "Heat Transfer I" , "Laboratory: 2 hours per week, alternate weeks" ,
 "FINA" , "415" , "Mergers and Acquisitions" , "Trading lab simulations and group project presentation" ,
 "AHSC" , "685" , "Coaching Interventions and Processes" , "Practical components" ,
 "CIVI" , "6481" , "Sustainable Management of Industrial Waste" , "A project is required" ,
 "ELEC" , "390" , "Electrical Engineering Product Design Project" , "Team, Build system/device, Equivalent laboratory time: 6 hours per week" ,
 "BLDG" , "7831" , "Building Economics II" , "A project is required" ,
 "PHYS" , "391" , "Introduction to Experimental Microprocessors and Assembly Language Programming" , "Laboratory" ,
 "BIOL" , "451" , "Field Ecology" , "2 weeks of fieldwork in a research station " ,
 "JOUR" , "330" , "Radio Newsroom" , "Workshop course" ,
 "BLDG" , "6791" , "Thermal Building Simulation" , "A project is required" ,
 "EDUC" , "461" , "Child Studies Seminar: Early Childhood Settings" , "improvisation and role-play of communication skills; Preparing lesson plans, activity plans, observation reports; In-class case discussions" ,
 "ELEC" , "6881" , "Fundamentals and Applications of MIMO Communications" , "A project is required" ,
 "MPER" , "231" , "Choir I" , "Choir" ,
 "PHYS" , "296" , "Experimental Electronics II" , "Experiments, practical laboratory course" ,
 "SPAN" , "603" , "Introduction to the Pedagogy of Spanish" , "Students teach an Introductory Spanish language course." ,
 "CATA" , "339" , "Rehabilitation of the Upper and Lower Extremities" , "Laboratory" ,
 "COEN" , "6311" , "Software Engineering" , "A project is required" ,
 "MECH" , "6751" , "Vehicle Dynamics" , "A project on research topics is required" ,
 "CIVI" , "6411" , "Urban Transportation Planning" , "A project is required" ,
 "FLIT" , "690" , "Présentation du mémoire" , "mémoire" ,
 "BIOL" , "689" , "Advanced Techniques in Molecular Biology" , "Laboratory" ,
 "FRAN" , "319" , "Le français des affaires II" , "French for language learners. Textes administratifs; écriture professionelle en affaires" ,
 "COMP" , "6741" , "Intelligent Systems" , "Laboratory: 24 hours total, project" ,
 "PHYS" , "663" , "Quantitative Human Systems Physiology" , "Individual project" ,
 "PSYC" , "828" , "APC Practicum IV: Child" , "Specialised practicum for advanced students involving clinical experience with child clients under supervision" ,
 "AHSC" , "442" , "Community Development and Leisure" , "Development, application, and evaluation of a community development approach in the community" ,
 "JOUR" , "402" , "Specialist Reporting" , "Workshop course" ,
 "AHSC" , "490" , "Independent Study I" , "Field studies, and/or research" ,
 "ENGL" , "226" , "Introductory Creative Writing: Prose Fiction" , "Writing workshop" ,
 "AERO" , "482" , "Avionic Navigation Systems (3 credits)" , "Laboratory: 1 hour per week" ,
 "COMP" , "490" , "Computer Science Project I" , "capstone project" ,
 "ESL" , "206" , "Academic Oral Communication II" , "Multimedia language lab" ,
 "ANTH" , "495" , "Honours Essay" , "Honours essay" ,
 "CLAS" , "490" , "Honours Thesis" , "Extensive research paper" ,
 "INSE" , "6220" , "Advanced Statistical Approaches to Quality" , "A project is required" ,
 "INSE" , "6270" , "Quality-Based System Engineering" , "A project is required" ,
 "PHIL" , "695" , "Thesis" , "Research" ,
 "PSYC" , "825" , "APC Practicum III: Child" , "Practicum, clinical experience and supervision" ,
 "FTRA" , "652" , "Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552" , "appliquer, exercices de programmation, outils, logiciels" ,
 "FTRA" , "527" , "Travaux dirigés (A)" , "travaux dirigés" ,
 "EMBA" , "612" , "Marketing Management" , "Case discussions & application-oriented readings" ,
 "APLI" , "634" , "Cross-linguistic Influence" , "Final research project: students design and pilot (collect data) a study, and analyze and write up results; many students present their findings at the annual Graduate Student Symposium" ,
 "ELEC" , "275" , "Principles of Electrical Engineering" , "Laboratory: 15 hours total" ,
 "BIOL" , "322" , "Biostatistics" , "Laboratory" ,
 "MAST" , "324" , "Introduction to Optimization" , "Use of computing softwares" ,
 "MECH" , "447" , "Fundamentals of Vehicle System Design" , "Laboratory: 2 hours per week, alternate weeks" ,
 "AHSC" , "538" , "Extended Internship in Youth Work" , "320-hour internship, full-time supervised experience in either a clinical or a normative youth work setting, additional hours to assist the student in building his/her application for licensing" ,
 "EDUC" , "395" , "Internship III: Kindergarten Teaching" , "8-week (200 hours) supervised student-teaching experience in a full-day kindergarten classroom" ,
 "SCPA" , "412" , "Senior Research Seminar" , "Simulation, real-life interaction, one-day event at the end of term" ,
 "COEN" , "6521" , "Design for Testability" , "A project is required" ,
 "SOAN" , "890" , "Thesis" , "Thesis" ,
 "BLDG" , "6751" , "Indoor Air Quality and Ventilation" , "A case study or project" ,
 "JOUR" , "207" , "Introduction to Multimedia" , "Workshop course" ,
 "EXCI" , "252" , "Introduction to Physical Activity, Health and Fitness" , "Laboratory" ,
 "BTM" , "430" , "Enterprise Resources Planning and Technology Integration" , "Experimental design, analysis and implementation of real business solution." ,
 "MARK" , "465" , "International Marketing Management" , "Project directed to a selected part of the world" ,
 "BLDG" , "6561" , "Building Economics I" , "A project is required" ,
 "ESTU" , "692" , "Directed Study (with Extended Essay or Research Project)" , "Essay, research project" ,
 "INSE" , "6120" , "Crypto-Protocol and Network Security" , "A project is required" ,
 "ENVS" , "664" , "Field Course in EA" , "1-week field trip" ,
 "GEOL" , "216" , "Field Methods" , "2-week field school" ,
 "FTRA" , "517" , "Stage de formation du français à l’anglais I (A)" , "stage de formation" ,
 "COMS" , "695" , "Thesis" , "Thesis" ,
 "BIOL" , "486" , "High-throughput Instrumentation" , "In-depth look at high-throughput instruments used in biotechnology and genomics" ,
 "COMP" , "346" , "Operating Systems" , "Laboratory: 24 hours total" ,
 "AHSC" , "537" , "Internship II in Youth Work" , "220-hour internship, supervised apprenticeship in either a clinical or normative youth work setting that builds on the student’s previous courses" ,
 "COEN" , "6341" , "Embedded System Modelling" , "A project is required" ,
 "MPER" , "422" , "Chamber Ensemble IV" , "Public performance" ,
 "MATH" , "603" , "Extended Project" , "Project" ,
 "ELEC" , "6091" , "Discrete Event Systems" , "A project is required" ,
 "ENCS" , "5721" , "Argumentation and Composition for Engineers" , "Course-integrated project; Case Studies" ,
 "JOUR" , "502" , "Introduction to Reporting" , "Lecture/laboratory course, students receive assignments both in class and in the field" ,
 "COMS" , "483" , "Communication Media: Film III" , "Practicum course" ,
 "HIST" , "388" , "Telling Stories: Oral History, Memoryscapes, and Digital Storytelling" , "Course introduces oral history theory, ethics and practice. As part of the course, students create projects that are based in the community and are designed to apply course material to a real-world situation." ,
 "EXCI" , "351" , "Introduction to the Biomechanics of Human Movement" , "Laboratory" ,
 "EDUC" , "360" , "Introduction to Inclusive Practices" , "Active Learning activities that include case discussions, role-playing, and presentations; Analyzing psychoeducational evaluations to identify children's strengths and needs" ,
 "GEOG" , "362" , "Statistical Methods" , "Laboratory" ,
 "ETEC" , "551" , "Fundamentals of Human Performance Technology" , "Real-world project" ,
 "ESTU" , "690" , "Thesis and Tutorial" , "Thesis" ,
 "PSYC" , "839" , "Extramural Practicum II: Adult" , "Practicum" ,
 "URBS" , "250" , "Representation Methods in Urban Studies" , "Laboratory" ,
 "CIVI" , "454" , "Design of Steel Structures" , "Design project, Laboratory: 2 hours per week, alternate weeks" ,
 "EDUC" , "301" , "Integrating Computers into the Elementary Classroom" , "Hands-on experience with the computer" ,
 "BLDG" , "490" , "Capstone Building Engineering Design Project (also listed as BLDG 490A, BLDG 490B)" , "capstone, team project" ,
 "MECH" , "472" , "Mechatronics and Automation" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ENGR" , "290" , "Introductory Engineering Team Design Project" , "Team project" ,
 "PERC" , "209" , "The Engaged Theatre Artist" , "Studio course" ,
 "FTRA" , "560" , "Stage en gestion de projet I" , "stage" ,
 "FRAA" , "491" , "Tutorat en langue ou linguistique" , "sujet particulier" ,
 "FINA" , "465" , "Trading in Financial Securities" , "Practical skills in trading financial securities" ,
 "INSE" , "6640" , "Smart Grids and Control System Security" , "A project is required" ,
 "ELEC" , "442" , "Digital Signal Processing" , "Laboratory: 15 hours total" ,
 "CIVI" , "231" , "Geology for Civil Engineers" , "Site investigation" ,
 "INDU" , "6331" , "Advanced Quality Control" , "A project is required" ,
 "SOEN" , "341" , "Software Process" , "Group project" ,
 "LING" , "490" , "Honours Tutorial" , "Research paper" ,
 "SCPA" , "537" , "Le DÉC en milieu autochtone. Partie II" , "Visite de sites" ,
 "RELI" , "695" , "Master’s Thesis (Judaic Studies)" , "Thesis" ,
 "MBA" , "655" , "International Case Competition Organizer" , "Competition" ,
 "BLDG" , "6151" , "Database Applications in Building and Civil Engineering" , "A project is required" ,
 "INSE" , "6421" , "Systems Integration and Testing" , "A project is required" ,
 "JOUR" , "325" , "Social Media and Mobile Reporting" , "Workshop course" ,
 "CHST" , "696" , "Internship Report" , "Report on CHST 695, including all instruments, curricular materials, and other supporting documents" ,
 "MECH" , "6061" , "Analysis and Design of Hydraulic Control Systems" , "A projects on selected topics is required" ,
 "ELEC" , "312" , "Electronics II" , "Laboratory: 15 hours total
Laboratory pre-labs, extensive simulation exercises" ,
 "URBS" , "333" , "Urban Laboratory" , "First-hand knowledge, plans are evaluated by the peer group and experts in the field" ,
 "PHYS" , "495" , "Experimental Nuclear Physics" , "Laboratory" ,
 "COEN" , "313" , "Digital Systems Design II" , "Laboratory: 15 hours total" ,
 "MECH" , "343" , "Theory of Machines" , "Laboratory: 2 hours per week, alternate weeks" ,
 "COMP" , "476" , "Advanced Game Development" , "Laboratory: 24 hours total, group project" ,
 "ELEC" , "6221" , "Solid State Devices" , "A project is required" ,
 "PREX" , "PHYS" , "Physics Professional Experience" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "COEN" , "6741" , "Computer Architecture and Design" , "A project is required" ,
 "FRAA" , "431" , "Rédaction professionnelle" , "ateliers de rédaction; travaux inspirés de situations réelles" ,
 "AHSC" , "451" , "Counselling Skills and Concepts" , "in-class simulations" ,
 "ELEC" , "6641" , "Two-dimensional Signal and Image Processing" , "A project is required" ,
 "PHYS" , "491" , "Experimental Microprocessor Interfacing" , "Laboratory" ,
 "MBA" , "642" , "Financial Reporting for Responsible Decision Making" , "Case analysis" ,
 "COMP" , "107" , "Computer Science Industrial Experience Work Term I" , "Industrial experience work term" ,
 "EDUC" , "895" , "Doctoral Dissertation" , "Dissertation" ,
 "FTRA" , "555" , "Gestion de projets" , "mises en situation" ,
 "FRAA" , "430" , "Stylistique avancée" , "atelier d’écriture; exercices pratiques" ,
 "MBA" , "661" , "JMSB/MBA Community Services Initiative" , "Service" ,
 "ENCS" , "6041" , "Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)" , "Simulations, course-integrated projects, case studies & real time innovation challenges" ,
 "COEN" , "317" , "Microprocessor Systems" , "Laboratory: 15 hours total" ,
 "CIVI" , "381" , "Hydraulics" , "Laboratory: 2 hours per week, alternate weeks" ,
 "COEN" , "421" , "Embedded Systems Design" , "Laboratory: 30 hours total" ,
 "CATA" , "262" , "Emergency Care in Sport and Exercise" , "Laboratory" ,
 "MSCA" , "611" , "Research Methodology" , "Research paper presentation and a separate research paper" ,
 "ELEC" , "466" , "Introduction to Optical Communication Systems" , "Laboratory: 15 hours total" ,
 "INSE" , "7120" , "Advanced Network Management" , "A project is required" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Associated reflective learning course to industrial experience work term III" ,
 "MECH" , "6091" , "Flight Control Systems" , "Flight simulation, Projects on selected topics are required" ,
 "FTRA" , "420" , "Stage de formation : de l’anglais au français" , "stage; activité professionnelle" ,
 "ANTH" , "315" , "Field Research" , "Field, practice" ,
 "STAT" , "499" , "Honours Project in Statistics" , "Project" ,
 "FPST" , "491" , "Aboriginal Community Economic Development II" , "Site visits" ,
 "EMBA" , "690" , "Management Consulting Project" , "Course" ,
 "FINA" , "471" , "International Financial Management" , "Case study presentation" ,
 "FINA" , "481" , "Management of Financial Institutions" , "Group presentation and case study" ,
 "BLDG" , "6951" , "Solar Building Modelling and Design" , "A project is required" ,
